Row_Number,Cell_ID,MERFISH_cell_type_annotation.y
1,2796212800954100068,DH_ex_Grpr
2,2707604000123100074,oligodendrocyte_progenitor_2
3,2796212800080100088,astrocyte_1
4,2946331700000000970,astrocyte_1
5,2796212800882100299,DH_in_Rorb
6,2787889600415100083,oligodendrocyte_progenitor_2
7,2795903600185100289,oligodendrocyte_progenitor_2
8,2707737900071100040,oligodendrocyte_progenitor_2
9,2707604800079100103,oligodendrocyte_progenitor_2
10,2946331700000004334,DH_ex_Reln/Npff
11,2707604000055100159,oligodendrocyte_progenitor_2
12,2726562700214100107,oligodendrocyte_1
13,2656144300085100039,astrocyte_2
14,2795584800450100248,DH_ex_Reln/Nmur2
15,2795584800377100133,oligodendrocyte_progenitor_2
16,2946331700000021200,oligodendrocyte_progenitor_2
17,2796212800583100061,oligodendrocyte_progenitor_2
18,2795903600032100208,MV_in_Sema5b
19,2795584800701100118,oligodendrocyte_progenitor_2
20,2707737900088100227,oligodendrocyte_progenitor_2
21,2945606900000016721,oligodendrocyte_progenitor_2
22,2787445900353100151,DH_ex_Reln/Nmur2
23,2787889600396100098,oligodendrocyte_progenitor_2
24,2707604700012100061,oligodendrocyte_progenitor_2
25,2796212800419200150,oligodendrocyte_progenitor_2
26,2795584800434100041,DH_ex_Prkcg/Rxfp1
27,2946331700000012595,DH_in_Cdh3
28,2946331700000014061,DH_ex_Gpr83
29,2787445900326100163,oligodendrocyte_progenitor_2
30,2707604800339100051,oligodendrocyte_progenitor_2
31,2656143800102100138,oligodendrocyte_progenitor_2
32,2795584800088100291,oligodendrocyte_progenitor_2
33,2707604000057100194,DH_ex_Nmu/Tac2
34,2707604800142100101,oligodendrocyte_progenitor_2
35,2787445900462100145,MV_in_Sema5b
36,2796212800824100031,DH_in_Npy
37,2656143800419200165,MV_ex_Shox2
38,2656144900288100174,DH_ex_Sox5
39,2787889600409100080,DH_in_Npy2r
40,2795584800449100215,oligodendrocyte_progenitor_2
41,2656144900111100080,astrocyte_1
42,2795584800410100108,oligodendrocyte_progenitor_2
43,2787445900387100096,DH_ex_Sox5/Tac1
44,2795103300108100035,alpha_motoneuron
45,2796212800980200153,DH_in_Pdyn/Gal
46,2707604700059100099,oligodendrocyte_progenitor_2
47,2946331700000010711,astrocyte_1
48,2787889600024100204,DH_in_Cdh3
49,2726544600029100088,M_ex_Vsx2
50,2656144300210100201,oligodendrocyte_progenitor_2
51,2707604700035100138,oligodendrocyte_progenitor_2
52,2946331700000007152,astrocyte_1
53,2787445900798100070,oligodendrocyte_progenitor_2
54,2796212800951100050,oligodendrocyte_progenitor_2
55,2796212800601100057,astrocyte_1
56,2707604700224100246,oligodendrocyte_progenitor_2
57,2656144900610100044,astrocyte_1
58,2707604700106100117,oligodendrocyte_progenitor_2
59,2795584800480100215,oligodendrocyte_progenitor_2
60,2707604000043200042,oligodendrocyte_progenitor_2
61,2707604000041100035,DM_ex_Zfhx3
62,2787445900688100075,oligodendrocyte_progenitor_2
63,2656144900421100081,astrocyte_1
64,2795903600062100021,oligodendrocyte_progenitor_2
65,2656143800078100252,DH_in_Cdh3
66,2707604800242100146,oligodendrocyte_progenitor_2
67,2787889600279100093,DH_ex_Nmu/Tac2
68,2795584800386100122,alpha_motoneuron
69,2656144900235100127,astrocyte_1
70,2707737900089100156,DH_in_Npy2r
71,2945606900000006501,oligodendrocyte_progenitor_2
72,2707604000056100254,M_in_Tfap2b
73,2945606900000010124,oligodendrocyte_progenitor_2
